image,blur_sigma,method,stability,n_interfaces,n_consistent
5w_animal2_C1_MAX_20231020_5w_wt_animal_2.lif___Image_3_1.tif_stack_2.tif,1.5,baseline_simple,1.0,30,30
5w_animal2_C1_MAX_20231020_5w_wt_animal_2.lif___Image_3_1.tif_stack_2.tif,1.5,junction_mapper,0.4,30,12
5w_animal2_C1_MAX_20231020_5w_wt_animal_2.lif___Image_3_1.tif_stack_2.tif,2.0,epg_original,0.9,30,27
5w_animal2_C1_MAX_20231020_5w_wt_animal_2.lif___Image_3_1.tif_stack_2.tif,2.0,epg_blur_robust,0.7666666666666667,30,23
5w_animal2_C1_MAX_20231020_5w_wt_animal_2.lif___Image_3_1.tif_stack_2.tif,2.0,baseline_simple,1.0,30,30
5w_animal2_C1_MAX_20231020_5w_wt_animal_2.lif___Image_3_1.tif_stack_2.tif,2.0,junction_mapper,0.3333333333333333,30,10
25w_animal1_C1_MAX_20231020_25w_wt_animal_1.lif___Image_4.tif,1.0,epg_original,0.9666666666666667,30,29
25w_animal1_C1_MAX_20231020_25w_wt_animal_1.lif___Image_4.tif,1.0,epg_blur_robust,0.8,30,24
25w_animal1_C1_MAX_20231020_25w_wt_animal_1.lif___Image_4.tif,1.0,baseline_simple,1.0,30,30
25w_animal1_C1_MAX_20231020_25w_wt_animal_1.lif___Image_4.tif,1.0,junction_mapper,0.43333333333333335,30,13
25w_animal1_C1_MAX_20231020_25w_wt_animal_1.lif___Image_4.tif,1.5,epg_original,0.8666666666666667,30,26
25w_animal1_C1_MAX_20231020_25w_wt_animal_1.lif___Image_4.tif,1.5,epg_blur_robust,0.8,30,24
25w_animal1_C1_MAX_20231020_25w_wt_animal_1.lif___Image_4.tif,1.5,baseline_simple,1.0,30,30
25w_animal1_C1_MAX_20231020_25w_wt_animal_1.lif___Image_4.tif,1.5,junction_mapper,0.3333333333333333,30,10
25w_animal1_C1_MAX_20231020_25w_wt_animal_1.lif___Image_4.tif,2.0,epg_original,0.8666666666666667,30,26
25w_animal1_C1_MAX_20231020_25w_wt_animal_1.lif___Image_4.tif,2.0,epg_blur_robust,0.8,30,24
25w_animal1_C1_MAX_20231020_25w_wt_animal_1.lif___Image_4.tif,2.0,baseline_simple,1.0,30,30
25w_animal1_C1_MAX_20231020_25w_wt_animal_1.lif___Image_4.tif,2.0,junction_mapper,0.3,30,9
3w_animal3_C1_MAX_20231101_3w_wt_animal_3.lif___Image_2.tif,1.0,epg_original,0.8,30,24
3w_animal3_C1_MAX_20231101_3w_wt_animal_3.lif___Image_2.tif,1.0,epg_blur_robust,1.0,30,30
3w_animal3_C1_MAX_20231101_3w_wt_animal_3.lif___Image_2.tif,1.0,baseline_simple,1.0,30,30
3w_animal3_C1_MAX_20231101_3w_wt_animal_3.lif___Image_2.tif,1.0,junction_mapper,0.6666666666666666,30,20
3w_animal3_C1_MAX_20231101_3w_wt_animal_3.lif___Image_2.tif,1.5,epg_original,0.7333333333333333,30,22
3w_animal3_C1_MAX_20231101_3w_wt_animal_3.lif___Image_2.tif,1.5,epg_blur_robust,1.0,30,30
3w_animal3_C1_MAX_20231101_3w_wt_animal_3.lif___Image_2.tif,1.5,baseline_simple,1.0,30,30
3w_animal3_C1_MAX_20231101_3w_wt_animal_3.lif___Image_2.tif,1.5,junction_mapper,0.6333333333333333,30,19
3w_animal3_C1_MAX_20231101_3w_wt_animal_3.lif___Image_2.tif,2.0,epg_original,0.7,30,21
3w_animal3_C1_MAX_20231101_3w_wt_animal_3.lif___Image_2.tif,2.0,epg_blur_robust,1.0,30,30
