gene,median_boundary_frac,mean_boundary_frac,p25,p75,mean_cell_total,n_cells_used
Npnt,0.0,0.10623726943780354,0.0,0.0,2.826274362818591,5336
Nr2f2,0.0,0.14601866088918733,0.0,0.25,6.362177435376703,45301
Pdgfra,0.0,0.15122470372078606,0.0,0.25,6.594800181653043,17616
Nrep,0.0,0.11648215480454212,0.0,0.16666666666666666,4.034513255247093,46359
Nrp2,0.0,0.11885636561693139,0.0,0.16666666666666666,3.853335119207072,22398
Nts,0.0,0.1360139731721075,0.0,0.2,8.090533359574886,5081
Ntsr2,0.0,0.13522519802425603,0.0,0.2222222222222222,5.165590375663804,61012
Nwd2,0.0,0.1231334298765191,0.0,0.1875,5.8286702294875825,28629
Nxph3,0.0,0.1170818901703615,0.0,0.16666666666666666,5.452166980721843,13798
Opalin,0.0,0.09446210462728578,0.0,0.09090909090909091,8.18265062852189,18456
Opn3,0.0,0.09116427878061052,0.0,0.0625,4.436766743648961,10825
Orai2,0.0,0.09370192784676107,0.0,0.0,2.6978055941894605,12942
Paqr5,0.0,0.05919663541905514,0.0,0.0,2.717201834862385,4360
Parm1,0.0,0.11265633300921349,0.0,0.14285714285714285,4.2811877104955665,29098
Pcsk5,0.0,0.05590745374104987,0.0,0.0,2.7418531311007657,6659
Pde7b,0.0,0.11956091450896252,0.0,0.17647058823529413,4.815102508595441,47118
Rasl10a,0.0,0.1352794080350438,0.0,0.2,4.175183973834832,19568
Rmst,0.0,0.10896885781020144,0.0,0.14285714285714285,4.858500867107714,46707
Rbp4,0.0,0.09009366671624275,0.0,0.0,3.753437427173153,4291
Tmem132d,0.0,0.10295149235525182,0.0,0.14285714285714285,4.60204235777516,33099
Spi1,0.0,0.04970006974179785,0.0,0.0,3.126511353583014,3391
Sst,0.0,0.08171052071236545,0.0,0.0,5.459593679458239,2215
Stard5,0.0,0.057749880471845996,0.0,0.0,2.5994495871903927,3997
Strip2,0.0,0.0952713801634374,0.0,0.0,3.333424060968971,11022
Syndig1,0.0,0.09617538648256918,0.0,0.0,3.119864607573514,23635
Syt17,0.0,0.08742550063960651,0.0,0.0,2.7588447088290544,12776
Syt2,0.0,0.1035115644722676,0.0,0.1111111111111111,3.7486415996522493,9202
Syt6,0.0,0.11052546082600902,0.0,0.14285714285714285,4.3490375659733,12884
Tacr1,0.0,0.08991979382239576,0.0,0.0,3.033945271908556,2887
Tanc1,0.0,0.11624073447265415,0.0,0.16666666666666666,4.175442898301967,32626
Th,0.0,0.08473026624220574,0.0,0.0,3.7416107382550337,298
Thsd7a,0.0,0.11371541450600917,0.0,0.14285714285714285,4.241410400901626,31055
Tle4,0.0,0.10161614325504005,0.0,0.07692307692307693,3.654803483796808,45238
Tmem163,0.0,0.10624321052584794,0.0,0.14285714285714285,5.168001513527149,31714
Rfx4,0.0,0.08697456486684481,0.0,0.0,3.2212041207226796,19317
Tmem255a,0.0,0.11219296988446878,0.0,0.16666666666666666,4.371837464860721,19565
Tox,0.0,0.08664135145181433,0.0,0.0,3.2350195724179462,19926
Trbc2,0.0,0.0572772657410976,0.0,0.0,2.3966275659824046,1364
Trem2,0.0,0.08695815079323212,0.0,0.0,5.395974472263132,10185
Trp73,0.0,0.12473850669810549,0.0,0.0,2.875140607424072,889
Trpc4,0.0,0.09843601905553276,0.0,0.0,3.417461482024945,16356
Unc13c,0.0,0.12471142885363416,0.0,0.2,4.047731696361731,33395
Vat1l,0.0,0.1355239508157716,0.0,0.21428571428571427,5.572891411620411,35059
