edge_type,n_datasets,mean_frac,max_frac,cv_frac
basal_myoep__basal_myoep,0,6.57704648793321e-05,0.000657704648793321,3.16227766016838
epithelial__mast,0,5.13514622200817e-05,0.000429518778400424,2.60990084570961
basal_myoep__myeloid,0,4.52409556106389e-05,0.000452409556106389,3.16227766016838
nk__tcell,0,4.40326127996524e-05,0.000345960248787238,2.50164084990977
basal_myoep__epithelial,0,4.18193707325233e-05,0.000418193707325233,3.16227766016838
epithelial__proliferating,0,3.89953230756003e-05,0.000273541599226917,2.31224424029534
endothelial__hepatocyte,0,3.86335606769789e-05,0.000386335606769789,3.16227766016838
bcell__mural_smc,0,3.69565566139787e-05,0.000204723903723567,2.12347459237578
mast__myeloid,0,3.28863266835891e-05,0.000266123268297876,2.52374425290018
mast__tcell,0,2.97386936947853e-05,0.000228105658541036,2.45541007330203
fibroblast__nk,0,2.93222735927792e-05,0.000182759234417984,2.161416954229
basal_myoep__tcell,0,2.47114463419456e-05,0.000247114463419456,3.16227766016838
myeloid__nk,0,2.24848236308553e-05,0.000148268678051674,2.21138357804609
epithelial__nk,0,2.2433129177339e-05,0.000204260320820099,2.86175818871198
hepatocyte__myeloid,0,2.08026865183732e-05,0.000208026865183732,3.16227766016838
endothelial__nk,0,1.65656948016442e-05,0.000129259873173254,2.44923064786265
epithelial__neural,0,1.61587674407498e-05,0.000124440019910403,2.46287334183111
fibroblast__hepatocyte,0,1.41161087088961e-05,0.000141161087088961,3.16227766016838
basal_myoep__endothelial,0,1.29259873173254e-05,0.000129259873173254,3.16227766016838
mast__mural_smc,0,1.25526351943498e-05,0.000109894441610814,2.73700127039422
mural_smc__tumor_breast,0,1.10251068294834e-05,0.000110251068294834,3.16227766016838
mural_smc__nk,0,1.0576534877598e-05,9.79493936096382e-05,2.90668880446773
bcell__mast,0,9.92810619708689e-06,8.83122721944797e-05,2.78471934151566
mural_smc__proliferating,0,9.45236855316267e-06,8.37731423305688e-05,2.78568377526335
endothelial__mast,0,8.8467181386462e-06,3.04140878054715e-05,1.46043541545719
neural__proliferating,0,8.37731423305688e-06,8.37731423305688e-05,3.16227766016838
mural_smc__neural,0,6.81751556097927e-06,6.81751556097927e-05,3.16227766016838
mast__tumor_breast,0,6.0828175610943e-06,6.0828175610943e-05,3.16227766016838
hepatocyte__neural,0,5.94362471953521e-06,5.94362471953521e-05,3.16227766016838
glia__mural_smc,0,5.45401244878341e-06,5.45401244878341e-05,3.16227766016838
epithelial__glia,0,3.09158385614707e-06,1.60567767626327e-05,2.11016175823351
nk__tumor_breast,0,3.04140878054715e-06,3.04140878054715e-05,3.16227766016838
mast__mast,0,2.47630823036761e-06,1.52070439027357e-05,2.17572022860352
nk__nk,0,2.43265891530134e-06,1.67230672016456e-05,2.28586819675822
myeloid__proliferating,0,2.27931257730324e-06,1.20425825719745e-05,2.1124146848245
hepatocyte__mast,0,2.2288592698257e-06,2.2288592698257e-05,3.16227766016838
proliferating__tcell,0,2.15010864021157e-06,2.15010864021157e-05,3.16227766016838
bcell__nk,0,1.73719935672824e-06,9.55603840094031e-06,1.83750655529791
bcell__glia,0,1.60567767626327e-06,1.60567767626327e-05,3.16227766016838
glia__proliferating,0,1.36350311219585e-06,1.36350311219585e-05,3.16227766016838
bcell__proliferating,0,1.3237087372092e-06,1.20425825719745e-05,2.85930789800544
bcell__hepatocyte,0,1.11442963491285e-06,1.11442963491285e-05,3.16227766016838
mast__nk,0,7.8159551663421e-07,4.01419419065817e-06,2.10915823319171
basal_myoep__mural_smc,0,7.51652642539344e-07,3.80176097568394e-06,2.10836160081658
basal_myoep__mast,0,3.80176097568394e-07,3.80176097568394e-06,3.16227766016838
glia__hepatocyte,0,3.71476544970951e-07,3.71476544970951e-06,3.16227766016838
hepatocyte__tcell,0,3.71476544970951e-07,3.71476544970951e-06,3.16227766016838
