edge_type,xenium_breast,xenium_mouse_brain,xenium_colon,allen_merfish,mibi_glioma,visium_breast,stereoseq_brain,stereoseq_embryo_e95,cosmx_colon,cosmx_pancreas
mast__mural_smc,7.60352195136787e-06,0,0.000109894441610814,0,0,0,0,0,8.02838838131634e-06,0
mast__myeloid,0.000266123268297876,0,3.46406392034086e-05,0,0,0,0,0,2.80993593346072e-05,0
mast__nk,3.80176097568394e-06,0,0,0,0,0,0,0,4.01419419065817e-06,0
mast__tcell,0.000228105658541036,0,6.92812784068173e-05,0,0,0,0,0,0,0
mast__tumor_breast,6.0828175610943e-05,0,0,0,0,0,0,0,0,0
mast__unassigned,0.00119755470734044,0,0.000741787480872992,0,0,0,0,0,0.00113601695595626,0.000813533633486382
mural_smc__mural_smc,3.04140878054715e-05,0,0.0542723255933404,0,0,0,0,0.000167546284661138,0.000128454214101061,1.11442963491285e-05
mural_smc__myeloid,0.000197691570735565,0,0.000806290740079339,0,0,0,0,0,6.82413012411888e-05,1.11442963491285e-05
mural_smc__nk,3.80176097568394e-06,0,9.79493936096382e-05,0,0,0,0,0,4.01419419065817e-06,0
mural_smc__tcell,0.000193889809759881,0,0.00140115413053787,0,0,0,0,0,4.01419419065817e-06,0
mural_smc__tumor_breast,0.000110251068294834,0,0,0,0,0,0,0,0,0
mural_smc__unassigned,0.00145227269271126,0,0.0483762498999602,0,0,0,0.00019089043570742,0.00427243025885901,0.00352044830520721,0.000672372546397421
myeloid__myeloid,0.0104472391611795,0,0.00224925253862133,0.00012611913597425,0,0,0,0,0.000208738097914225,0.00022660069243228
myeloid__nk,0.000148268678051674,0,7.28647928071699e-05,0,0,0,0,0,0,3.71476544970951e-06
myeloid__tcell,0.0111049438099728,0,0.00101055106089944,0,0,0,0,0,8.02838838131634e-06,0
myeloid__tumor_breast,0.00406788424398181,0,0,0,0,0.000404885619812403,0,0,0,0
myeloid__unassigned,0.0612881886890007,0.000484268536588909,0.0100362293305876,0,0.0194552529182879,0.000337404683177003,0.00205207218385476,0,0.0105212029737151,0.0153716994308979
nk__nk,7.60352195136787e-06,0,1.67230672016456e-05,0,0,0,0,0,0,0
nk__tcell,0.000345960248787238,0,9.43658792092856e-05,0,0,0,0,0,0,0
nk__tumor_breast,3.04140878054715e-05,0,0,0,0,0,0,0,0,0
nk__unassigned,0.00075274867318542,0,0.00105474773850379,0,0,0,0,0,3.21135535252653e-05,2.2288592698257e-05
tcell__tcell,0.01789869067352,0,0.00392514277318623,0,0,0,0,0,0,0
tcell__tumor_breast,0.00190088048784197,0,0,0,0,0,0,0,0,0
tcell__unassigned,0.0599347617816573,0,0.0214604732389117,0,0.00389105058365759,0,0,0,0.00015253937924501,5.57214817456426e-05
tumor_breast__tumor_breast,0.0536048297571435,0,0,0,0,0.0209190903569742,0,0,0,0
tumor_breast__unassigned,0.149781778919996,0,0,0,0,0.0346177204939605,0,0,0,0
unassigned__unassigned,0.399150686598032,0.100422766432442,0.184743306890979,0,0.315175097276265,0.0145084013766111,0.295423401803915,0.289855072463768,0.471551405770806,0.811382784291
endothelial__glia,0,0.00796137474152167,0,0.0833866826417572,0,0,0.0020384371527328,0,0,3.71476544970951e-06
endothelial__neural,0,0.0379666532685705,0,0.0889345537644506,0.0155642023346304,0,0.00296561926902598,0,4.01419419065817e-06,2.60033581479665e-05
fibroblast__glia,0,0.00868293486103914,0,0,0,0,0.000204525466829378,0,4.01419419065817e-06,0
fibroblast__neural,0,0.0112495581049604,0,0,0,0,0.000409050933658756,8.37731423305688e-05,5.21845244785562e-05,7.42953089941901e-06
glia__glia,0,0.040915848656397,0,0.169924972822697,0,0,0.0608735964439839,0,0,0
glia__myeloid,0,0.000130752504879006,0,0.0113616891190715,0,0,0.000484043604829528,0,0,0
glia__neural,0,0.0212981302391802,0,0.244466865624173,0,0,0.0708817092875015,0,0,0
glia__unassigned,0,0.0689404688687971,0,0,0,0,0.194646886781519,0,0.000136482602482378,0.000204312099734023
myeloid__neural,0,0.000232448897562676,0,0.0116948081412644,0,0,0.000886277022927305,0,4.01419419065817e-06,1.11442963491285e-05
neural__neural,0,0.462098722983869,0,0.348284848293759,0.0856031128404669,0,0.0781423633599444,0,0,3.71476544970951e-06
