image_id,condition,n_cells,n_edges,mean_degree,edge_density,mean_cell_area,std_cell_area,cv_cell_area,mean_aj_occupancy,std_aj_occupancy,median_aj_occupancy,mean_aj_clusters,std_aj_clusters,max_aj_clusters,mean_aj_intensity,std_aj_intensity,mean_linearity,std_linearity,mean_thickness,std_thickness,mean_skeleton_len,std_skeleton_len,prop_reticular,prop_straight,prop_fingers,prop_other,prop_thick,prop_thick_to_reticular
EGM2_regular_6dyn-71,6dyne,154,318,4.12987012987013,0.026992615227909345,5997.545454545455,3870.6101309098644,0.6453657017265928,0.3068002832299148,0.270410091601604,0.222406792174234,5.660377358490566,5.059681900051284,30,0.38984403253738625,0.17786858460164248,1.0681774342538684,0.8173206508638633,2.23991962727803,1.1636528849593977,36.70125786163522,33.775871938806745,0.4968553459119497,0.2610062893081761,0.1320754716981132,0.11006289308176101,0.0,0.0
EGM2_regular_6dyn-72,6dyne,164,332,4.048780487804878,0.024839144096962442,5694.6463414634145,3703.2384546599783,0.6503017452894744,0.31455597962123666,0.2570876980248524,0.26092728758169936,5.159638554216867,4.485134613070275,28,0.41407900696600797,0.1743920333553835,0.9782104149119988,0.7452671454491803,2.2565567264947766,1.2101435861314735,38.21987951807229,36.85535328614375,0.4427710843373494,0.31626506024096385,0.13855421686746988,0.10240963855421686,0.0,0.0
EGM2_regular_6dyn-73,6dyne,107,190,3.5514018691588785,0.03350379121847999,8041.728971962617,4958.839059908804,0.6166384215630409,0.24567970046909424,0.2205374530548055,0.17287471081275835,6.989473684210527,5.732105325930236,28,0.3376778735418891,0.15257919072861023,1.0069524797102893,0.8687818750266009,1.9152431793262403,0.9120766858536481,41.62105263157895,43.58442004711978,0.6,0.22105263157894736,0.14210526315789473,0.03684210526315789,0.0,0.0
EGM2_regular_6dyn-74,6dyne,122,212,3.4754098360655736,0.028722395339384907,7055.94262295082,4056.281161907944,0.5748744538701468,0.21525610948670604,0.2250368276131037,0.1186227352894019,6.830188679245283,6.13122178141941,28,0.3015915826519181,0.15100772777195015,1.0243717728212445,1.3216647707683447,1.8177162058637915,0.9749912361731918,31.25,31.12806067099974,0.5377358490566038,0.24056603773584906,0.1179245283018868,0.10377358490566038,0.0,0.0
EGM2_regular_6dyn-75,6dyne,84,126,3.0,0.03614457831325301,9172.119047619048,5397.536353231176,0.5884721213504419,0.21060677117225493,0.2313349433593256,0.139861039629439,7.23015873015873,7.0723831326224955,34,0.2577770825240274,0.15481072133406334,1.029732663283199,1.143425297402967,1.6917187578954351,1.066926710369159,32.84126984126984,36.1176771564092,0.5079365079365079,0.2698412698412698,0.15079365079365079,0.07142857142857142,0.0,0.0
EGM2_regular_6dyn-76,6dyne,107,191,3.5700934579439254,0.03368012696173514,8444.401869158879,5317.081276343419,0.6296575362859935,0.2547456529689411,0.2463505061733656,0.1984126984126984,7.371727748691099,6.369585349572538,31,0.34895088049137885,0.18174322475046817,0.9060739133789745,1.04167788174304,1.9236871614848137,1.0864957494991223,42.36649214659686,45.53808964105232,0.5916230366492147,0.27225130890052357,0.07329842931937172,0.06282722513089005,0.0,0.0
EGM2_regular_6dyn-77,6dyne,95,136,2.863157894736842,0.03045912653975364,8219.473684210527,3970.723233447597,0.4830872858775971,0.2418820706574954,0.21691625259714023,0.2019353195823784,7.823529411764706,7.370494081575261,37,0.3176086616895937,0.14213433966708694,1.15793631348145,1.4715372517590184,1.8971202868683719,0.926385726715896,41.55882352941177,44.77528496604851,0.5514705882352942,0.19852941176470587,0.11029411764705882,0.13970588235294118,0.0,0.0
EGM2_regular_6dyn-78,6dyne,138,346,5.0144927536231885,0.0366021368877605,7145.166666666667,4662.4710696870925,0.6525349634513437,0.4538353906740834,0.21976255149676047,0.466046332894159,5.820809248554913,5.06104479487016,28,0.5011093928503354,0.14800698820810626,1.1008044602794937,0.6178123658596275,2.7380566713382493,0.9953438863174229,59.53468208092485,45.29357006594782,0.569364161849711,0.26878612716763006,0.02601156069364162,0.13583815028901733,0.0,0.0
EGM2_regular_6dyn-79,6dyne,111,240,4.324324324324325,0.03931203931203931,8735.486486486487,6457.419844805542,0.7392169691745228,0.4056145723460625,0.22912951984528673,0.40146342116538136,6.120833333333334,5.175374517336899,30,0.46248805482662964,0.16345966711304216,1.1092783732753622,1.7171649628835275,2.6322323506850513,0.9267947316715053,63.7625,48.805800057440536,0.5916666666666667,0.2708333333333333,0.04583333333333333,0.09166666666666666,0.0,0.0
EGM2_regular_6dyn-80,6dyne,119,288,4.840336134453781,0.04101979774960832,8293.714285714286,5183.701861167572,0.6250157266806704,0.43116923847008315,0.21509118691856102,0.4109126984126984,6.319444444444445,5.023502641022424,28,0.48909875147764836,0.15588065641551785,1.025193738876749,0.4855473562542414,2.6845483757207944,0.9778121230455198,62.6875,43.28545051724466,0.6076388888888888,0.24305555555555555,0.04513888888888889,0.10416666666666667,0.0,0.0
