source,native,name,p_value,intersection_size,term_size,query_size,precision,recall,panel,background
GO:BP,GO:0008284,positive regulation of cell population proliferation,0.022004297783796513,9,872,43,0.20930232558139536,0.010321100917431193,brain_3plat,whole_genome_bg
GO:BP,GO:0003333,amino acid transmembrane transport,0.02222361685165167,2,96,2,1.0,0.020833333333333332,brain_3plat,whole_genome_bg
GO:CC,GO:0005911,cell-cell junction,0.022759108876242676,5,477,26,0.19230769230769232,0.010482180293501049,brain_3plat,whole_genome_bg
GO:BP,GO:0009719,response to endogenous stimulus,0.023006196212415484,12,1397,50,0.24,0.008589835361488905,brain_3plat,whole_genome_bg
GO:CC,GO:0042734,presynaptic membrane,0.025671936919426066,4,171,38,0.10526315789473684,0.023391812865497075,brain_3plat,whole_genome_bg
GO:MF,GO:0015172,acidic amino acid transmembrane transporter activity,0.029163604649009228,2,17,17,0.11764705882352941,0.11764705882352941,brain_3plat,whole_genome_bg
GO:BP,GO:0048638,regulation of developmental growth,0.02942918110547044,6,304,46,0.13043478260869565,0.019736842105263157,brain_3plat,whole_genome_bg
GO:BP,GO:0050789,regulation of biological process,0.03083839662221004,39,12137,50,0.78,0.0032133146576584,brain_3plat,whole_genome_bg
REAC,REAC:R-MMU-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.03127992527384365,4,115,20,0.2,0.034782608695652174,brain_3plat,whole_genome_bg
GO:MF,GO:0005520,insulin-like growth factor binding,0.035922433681452176,2,16,20,0.1,0.125,brain_3plat,whole_genome_bg
GO:MF,GO:0008068,extracellularly glutamate-gated chloride channel activity,0.03730830990373039,1,2,1,1.0,0.5,brain_3plat,whole_genome_bg
GO:MF,GO:0140787,phosphate ion uniporter activity,0.03730830990373039,1,2,1,1.0,0.5,brain_3plat,whole_genome_bg
GO:BP,GO:0070050,neuron cellular homeostasis,0.03773292372476654,3,68,21,0.14285714285714285,0.04411764705882353,brain_3plat,whole_genome_bg
GO:BP,GO:0048518,positive regulation of biological process,0.03884123579180584,25,5712,50,0.5,0.004376750700280112,brain_3plat,whole_genome_bg
GO:BP,GO:0051241,negative regulation of multicellular organismal process,0.039312364618040926,10,1052,48,0.20833333333333334,0.009505703422053232,brain_3plat,whole_genome_bg
GO:BP,GO:0048522,positive regulation of cellular process,0.03991118544133771,24,5332,50,0.48,0.00450112528132033,brain_3plat,whole_genome_bg
GO:BP,GO:0050794,regulation of cellular process,0.04139612703567354,38,11716,50,0.76,0.0032434277910549677,brain_3plat,whole_genome_bg
GO:BP,GO:2000177,regulation of neural precursor cell proliferation,0.04198414723816407,4,101,43,0.09302325581395349,0.039603960396039604,brain_3plat,whole_genome_bg
GO:BP,GO:1905039,carboxylic acid transmembrane transport,0.04213714721477636,2,132,2,1.0,0.015151515151515152,brain_3plat,whole_genome_bg
GO:BP,GO:0021872,forebrain generation of neurons,0.04427274047067347,4,100,44,0.09090909090909091,0.04,brain_3plat,whole_genome_bg
GO:BP,GO:0048708,astrocyte differentiation,0.04495394582783096,2,79,3,0.6666666666666666,0.02531645569620253,brain_3plat,whole_genome_bg
GO:CC,GO:0045211,postsynaptic membrane,0.047613766689345596,5,300,47,0.10638297872340426,0.016666666666666666,brain_3plat,whole_genome_bg
GO:BP,GO:0007166,cell surface receptor signaling pathway,0.04834862770983875,15,2433,48,0.3125,0.006165228113440197,brain_3plat,whole_genome_bg
GO:BP,GO:0050767,regulation of neurogenesis,0.04838980672286549,6,348,44,0.13636363636363635,0.017241379310344827,brain_3plat,whole_genome_bg
