image_id,image_path,cell_i,cell_j,contact_px,iface_cy,iface_cx,aj_threshold,aj_channel_idx,cell_channel_idx,nuc_channel_idx,golgi_channel_idx,aj_mean_intensity,aj_max_intensity,aj_std_intensity,aj_occupancy,aj_intensity_per_interface,aj_cluster_count,aj_cluster_area_mean,aj_skeleton_len,aj_linearity_index,aj_thickness_proxy,aj_morph,dataset,shear_stress,supplementation,replicate,section
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,4,24,52,33.53846153846154,247.30769230769232,0.470703125,2,2,0,0,0.6679365825277479,1.0,0.2359941797506356,0.7976190476190477,0.6031261188686001,1,134.0,42.0,0.0,3.1904761904761907,straight,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,5,24,298,97.0,256.3322147651007,0.470703125,2,2,0,0,0.6111885674451027,1.0,0.2643277389946856,0.6865342163355408,0.5215128051917874,2,311.0,203.0,1.3810802114053948,3.064039408866995,other,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,23,24,218,100.0,232.8119266055046,0.470703125,2,2,0,0,0.5930634581950371,1.0,0.2686329605558555,0.6411411411411412,0.4880641920115604,6,71.16666666666667,120.0,1.1001768829335032,3.558333333333333,reticular,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,9,21,81,68.75308641975309,443.12345679012344,0.470703125,2,2,0,0,0.2009177355152587,0.8204887218045113,0.1631307961091082,0.0980392156862745,0.0576993955476927,3,8.333333333333334,16.0,0.6095514542075674,1.5625,straight,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,16,25,64,58.03125,790.5,0.470703125,2,2,0,0,0.3916915450390682,0.9548872180451128,0.2038732509313591,0.3578431372549019,0.2246332743623765,4,18.25,30.0,0.8988322765679696,2.433333333333333,reticular,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,22,25,148,92.5,791.8648648648649,0.470703125,2,2,0,0,0.544568658488326,1.0,0.2484863053021046,0.5592105263157895,0.4072475596886954,8,31.875,91.0,1.1396388298422953,2.802197802197802,reticular,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,15,25,241,116.448132780083,733.9419087136929,0.470703125,2,2,0,0,0.3860889468569382,1.0,0.1930478631609509,0.3129251700680272,0.193243312362539,27,8.518518518518519,119.0,0.8705634112057307,1.9327731092436975,reticular,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,11,26,96,63.5,570.5,0.470703125,2,2,0,0,0.3348057644110275,0.793233082706767,0.1576120596146883,0.2033333333333333,0.1114317042606516,14,4.357142857142857,43.0,0.8908210997499197,1.4186046511627908,reticular,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,12,26,75,77.25333333333333,605.9466666666667,0.470703125,2,2,0,0,0.3912312426636211,0.8703007518796992,0.2308546638031496,0.3713080168776371,0.2412716918879477,6,14.666666666666666,30.0,0.6718288935335839,2.933333333333333,reticular,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,12,27,100,80.16,644.5,0.470703125,2,2,0,0,0.4887850636205899,0.9464285714285714,0.2610723195713388,0.5737179487179487,0.3932879072681703,4,44.75,56.0,0.0,3.1964285714285716,reticular,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,13,27,20,62.9,674.5,0.470703125,2,2,0,0,0.1333672723475355,0.743421052631579,0.1775074350621917,0.0833333333333333,0.054720133667502,1,6.0,3.0,1.5,2.0,other,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,14,27,62,70.8225806451613,695.0,0.470703125,2,2,0,0,0.6967513480671376,1.0,0.24215711184458,0.8232323232323232,0.6485057340320498,1,163.0,34.0,0.0,4.794117647058823,straight,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,9,28,17,73.23529411764706,493.2941176470589,0.470703125,2,2,0,0,0.0685045948203842,0.2161654135338346,0.0414634662153269,0.0,0.0,0,0.0,0.0,0.0,0.0,straight,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,10,28,41,76.53658536585365,502.390243902439,0.470703125,2,2,0,0,0.143249915834362,0.7481203007518797,0.1428777351222349,0.0522388059701492,0.0327053641566603,1,7.0,3.0,1.5,2.3333333333333335,other,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,10,26,12,72.5,544.8333333333334,0.470703125,2,2,0,0,0.4170386904761905,0.9652255639097744,0.2596309239876259,0.3125,0.233376409774436,2,7.5,8.0,0.9299811099505544,1.875,straight,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,21,29,50,80.3,420.0,0.470703125,2,2,0,0,0.1589506172839506,0.6278195488721805,0.1352278605969273,0.0432098765432098,0.0239429592499767,1,7.0,5.0,1.0,1.4,straight,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,2,30,146,84.22602739726027,36.0,0.470703125,2,2,0,0,0.2966474463184989,1.0,0.2763482850074657,0.25,0.1809422204159046,6,18.5,49.0,0.8372705045624257,2.2653061224489797,reticular,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,3,30,128,87.46875,104.5,0.470703125,2,2,0,0,0.1147993088782562,0.8073308270676691,0.1364077806265489,0.0378787878787878,0.0241299270904534,3,5.0,9.0,0.2605687248156494,1.6666666666666667,straight,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,7,29,67,83.19402985074628,391.2537313432835,0.470703125,2,2,0,0,0.2623813053761163,0.7546992481203008,0.1703961314249108,0.1173708920187793,0.0713844470330756,4,6.25,8.0,0.297112541083283,3.125,fingers,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,17,31,61,84.11475409836065,849.3934426229508,0.470703125,2,2,0,0,0.4863890495469443,0.9163533834586466,0.2008213825940135,0.5230769230769231,0.3380133024869867,5,20.4,23.0,0.9509329651839316,4.434782608695652,reticular,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,6,32,50,80.22,343.0,0.470703125,2,2,0,0,0.6584980970945883,1.0,0.2881228157452886,0.7098765432098766,0.578019121878771,1,115.0,32.0,1.1472555830113196,3.59375,straight,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,10,33,63,77.57142857142857,527.7460317460317,0.470703125,2,2,0,0,0.5353121609995137,0.9605263157894736,0.2145163812151875,0.6119402985074627,0.4131130063965885,2,61.5,43.0,1.4898616966517595,2.86046511627907,other,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,22,31,154,113.0,823.5,0.470703125,2,2,0,0,0.5467089400716982,1.0,0.1955513696406265,0.6434599156118144,0.426794835189239,6,50.833333333333336,91.0,1.1474032339330682,3.3516483516483517,reticular,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,26,33,241,135.7551867219917,545.4688796680498,0.470703125,2,2,0,0,0.6297094500158129,1.0,0.283683954342239,0.6784260515603799,0.5399901551708307,2,250.0,144.0,1.1897170340717196,3.4722222222222223,straight,S-BIAD1540,static,BSA 0.1,rep 1,
