cell_id,area,perimeter,centroid_y,centroid_x,eccentricity,orientation_rad,major_axis_length,minor_axis_length,dataset,shear_stress,supplementation,replicate,section
90,2835.0,272.1370849898476,509.95626102292766,459.09029982363313,0.9576206704793375,-0.31041072024936156,114.5744619190423,33.00115486271642,S-BIAD1540,static,BSA 0.1,rep 1,nan
91,3854.0,317.889393668845,519.1686559418786,369.72262584327973,0.9650089178853258,-0.5630870140692924,138.0362503110003,36.195460216057164,S-BIAD1540,static,BSA 0.1,rep 1,nan
92,1294.0,152.84671708797583,486.7017001545595,15.062596599690881,0.573532447353087,0.491837089727129,47.415753479058374,38.84217178333037,S-BIAD1540,static,BSA 0.1,rep 1,nan
93,3760.0,290.770598642227,504.64601063829787,163.34095744680852,0.9172788292476873,-1.0551881617307637,113.47752415780599,45.19192348296494,S-BIAD1540,static,BSA 0.1,rep 1,nan
94,15757.0,569.6894295625948,571.0109792473187,753.7515389985404,0.8392394471932211,-0.6077621113416153,197.77517316162053,107.54263055218205,S-BIAD1540,static,BSA 0.1,rep 1,nan
95,3159.0,346.5096679918781,505.8698955365622,76.55745489078822,0.9848600442270585,-1.435457383725581,157.62985340296296,27.32534913266438,S-BIAD1540,static,BSA 0.1,rep 1,nan
96,7955.0,432.45793616376875,547.123947203017,295.69440603394094,0.9016118941660043,-0.8467459354812535,159.88903741267464,69.15935436925402,S-BIAD1540,static,BSA 0.1,rep 1,nan
97,4215.0,310.19090885901,555.2052194543297,519.1981020166073,0.9300485061781321,-0.657430632277185,124.98581096570183,45.92438203209698,S-BIAD1540,static,BSA 0.1,rep 1,nan
98,4720.0,301.32085117392114,530.1733050847457,215.73919491525425,0.8207527493153566,-1.1850517186027147,104.69257104759735,59.8091463947223,S-BIAD1540,static,BSA 0.1,rep 1,nan
99,3668.0,289.15432893255075,539.8664122137404,43.67639040348964,0.9098938322600579,-1.3679859128814829,112.07677959942285,46.49406476824026,S-BIAD1540,static,BSA 0.1,rep 1,nan
100,5502.0,320.2914139223983,561.5136314067612,126.84587422755362,0.8858627625426544,1.434336375367114,124.24606804228638,57.64363701127364,S-BIAD1540,static,BSA 0.1,rep 1,nan
101,6244.0,342.22034611053283,585.4245675848815,630.9959961563101,0.32579340936200885,-1.20539145168406,94.08894281622842,88.95554268911866,S-BIAD1540,static,BSA 0.1,rep 1,nan
102,1487.0,177.23759005323595,563.8903833221251,457.49630127774043,0.9366262363452103,-1.040950583575647,73.94921464794189,25.906647839070626,S-BIAD1540,static,BSA 0.1,rep 1,nan
103,3127.0,265.69953083036154,593.45954589063,189.75119923249122,0.9342580058755748,-0.9651600392787294,109.5958106913099,39.08162305973514,S-BIAD1540,static,BSA 0.1,rep 1,nan
