gene,median_boundary_frac,mean_boundary_frac,p25,p75,mean_cell_total,n_cells_used
CRYBA2,0.0,0.14141414140656566,0.0,0.4583333333333333,2.106060606060606,66
CA4,0.0,0.05769230767307692,0.0,0.0,2.1153846153846154,52
DUOX2,0.0,0.11111111109027777,0.0,0.0,2.0625,48
APOB,0.0,0.08490566035849056,0.0,0.0,2.0754716981132075,53
BMX,0.0,0.13379629628688272,0.0,0.21250000000000002,2.361111111111111,216
AQP8,0.0,0.10204081629931973,0.0,0.0,2.020408163265306,49
BEST4,0.0,0.09756097560975609,0.0,0.0,2.097560975609756,41
CHP2,0.0,0.13559322032203389,0.0,0.0,2.016949152542373,59
CALB2,0.0,0.17090067338775675,0.0,0.42500000000000004,3.0,120
ATOH1,0.0,0.1217228464213483,0.0,0.0,2.0898876404494384,89
BMP5,0.0,0.09360730592237443,0.0,0.0,2.458904109589041,146
CLCA4,0.0,0.0582010582010582,0.0,0.0,2.126984126984127,63
CD40LG,0.0,0.1705974842527516,0.0,0.5,2.099056603773585,212
CCR7,0.0,0.2000529688743898,0.0,0.5,2.691857059168131,1707
CTSG,0.0,0.14682415284294154,0.0,0.3333333333333333,2.7453580901856762,377
CA1,0.0,0.1276595744468085,0.0,0.0,2.021276595744681,47
CXCR1,0.0,0.1747787610280236,0.0,0.3333333333333333,2.230088495575221,113
BEST2,0.0,0.06280193236714976,0.0,0.0,2.0579710144927534,69
CLEC9A,0.0,0.19288760619104536,0.0,0.5,2.5619047619047617,315
AGTR1,0.0,0.038461538461538464,0.0,0.0,2.0683760683760686,117
CADM2,0.0,0.12808693242511077,0.0,0.0,2.436046511627907,172
CD6,0.0,0.1465364810843437,0.0,0.3333333333333333,2.272806761877004,3431
C7,0.0,0.18531515425827583,0.0,0.4,2.703955253695565,2503
DEPP1,0.0,0.17776288123249848,0.0,0.3333333333333333,3.153119092627599,10580
DOCK10,0.0,0.15071966977774856,0.0,0.3333333333333333,2.3665958952583157,9891
CD83,0.0,0.1916923734348308,0.0,0.5,2.6045281421921285,9452
BMP4,0.0,0.1811668375238112,0.0,0.5,2.226913875598086,8360
BRCA2,0.0,0.2120929374623019,0.0,0.5,2.2065852907990564,9749
C1QA,0.0,0.22622462577045072,0.0,0.5,2.945688972124181,13883
ACACB,0.0,0.15126260053185347,0.0,0.3333333333333333,2.2033397820995826,9821
CCL4,0.0,0.2632129871008803,0.0,0.5,3.549900808789867,13106
CD3E,0.0,0.20967121085937626,0.0,0.5,2.527249214853131,16239
CD2,0.0,0.19958816141679944,0.0,0.5,2.586662569145667,16270
CLU,0.0,0.2476188188690996,0.0,0.5,3.816195939982348,13596
CD8A,0.0,0.21714201037877562,0.0,0.5,3.1631772321688927,17147
ASCL2,0.0,0.23634982571148114,0.0,0.5,2.356240071828165,14479
C1QC,0.0,0.2331281028000258,0.0,0.5,3.0817401379891503,18987
CD79A,0.0,0.26304511896735966,0.0,0.5,3.043333489659054,21323
EBPL,0.0,0.2226206414875595,0.0,0.5,2.1923049820308647,14191
CCL5,0.0,0.23185449835955396,0.0,0.5,2.9687219466099695,21165
COL11A1,0.0,0.1930090947741185,0.0,0.3333333333333333,3.206139735130329,21369
CD163,0.0,0.22689236714794522,0.0,0.5,3.127141208839975,22534
CD14,0.0,0.24475160983391572,0.0,0.5,3.430262788083193,28464
CDK6,0.0,0.19890236206812534,0.0,0.5,2.409498303874308,28005
ALDH1B1,0.0,0.20098995965746738,0.0,0.5,2.619376510846702,31853
ANXA1,0.0,0.2013341887876073,0.0,0.5,2.6174114148839513,36321
CKAP4,0.0,0.20891915488710044,0.0,0.5,2.350713652617745,32719
CXCR4,0.0,0.2448942998210601,0.0,0.5,2.9099281850401044,42888
DPYSL3,0.0,0.2130094406830124,0.0,0.5,3.187000659678956,54572
CYB5R3,0.0,0.2019661170261008,0.0,0.5,2.4676705593116166,48810
CCDC80,0.0,0.22865594788763535,0.0,0.5,3.453366837830948,54918
ANPEP,0.0,0.22340162131079974,0.0,0.5,2.850145961725592,9249
CES2,0.0,0.16716680752797,0.0,0.5,2.1531065088757395,5408
CCL20,0.0,0.19262209225321134,0.0,0.4,3.1103581800580833,2066
CTLA4,0.0,0.1387825540785462,0.0,0.25,3.1240247511433954,11151
CD5,0.0,0.1499800875937674,0.0,0.3333333333333333,2.181600955794504,1674
CD8B,0.0,0.13733386143506293,0.0,0.0,2.229821318545903,1623
BANK1,0.0,0.22790249429470555,0.0,0.5,2.451559934318555,3045
